site,Site,rater,Case 1,Case 2,Case 3,Case 4,Case 5,Case 6,Case 7,Case 8,Case 9,Case 10,Case 11,Case 12
Consensus,Consensus,GOLD,8,9,6,7,9,3,5,9,3,9,5,1
Centre 1,Centre 1,R1,8,9,5,7,8,0,2,9,4,9,5,0
Centre 1,Centre 1,R2,10,9,7,8,9,4,8,9,4,10,4,0
Centre 1,Centre 1,R3,8,9,6,6,9,3,0,9,6,8,3,1
Centre 1,Centre 1,R4,9,9,8,8,10,4,2,9,3,9,3,3
Centre 1,Centre 1,R5,8,8,6,6,9,4,4,7,3,10,9,1
Centre 1,Centre 1,R6,9,8,9,8,10,3,8,9,3,10,4,1
Centre 1,Centre 1,R7,7,8,5,6,9,3,2,9,0,8,4,2
Centre 1,Centre 1,R8,9,8,6,6,10,3,4,9,3,9,5,1
Centre 1,Centre 1,R9,8,9,7,7,9,3,5,9,2,9,5,2
Centre 2,Centre 2,R1,9,8,7,8,9,2,7,8,3,9,4,2
Centre 2,Centre 2,R2,6,8,7,8,7,5,4,8,2,9,1,0
Centre 2,Centre 2,R3,8,8,6,5,10,3,0,9,4,8,0,3
Centre 2,Centre 2,R4,8,9,5,7,9,3,5,9,0,8,8,2
Centre 3,Centre 3,R1,9,8,6,5,9,4,8,9,6,8,5,5
Centre 3,Centre 3,R2,9,9,7,6,9,4,7,9,4,8,4,4
Centre 4,Centre 4,R1,8,8,6,5,10,3,7,9,5,10,6,3
Centre 4,Centre 4,R2,9,7,6,5,7,0,5,9,2,7,2,0
Centre 5,Centre 5,R1,9,9,7,8,10,4,3,9,4,9,5,2
Centre 5,Centre 5,R2,7,9,3,4,9,0,0,8,0,8,4,0
Centre 5,Centre 5,R3,8,7,5,7,5,0,2,8,0,8,2,2
Centre 5,Centre 5,R4,8,8,4,7,10,4,7,9,0,8,7,2
Centre 6,Centre 6,R1,6,7,3,7,7,2,1,9,0,7,3,1
Centre 6,Centre 6,R2,9,8,5,6,9,1,5,9,0,7,3,0
Centre 7,Centre 7,R1,7,9,4,7,7,4,2,9,1,7,4,3
Centre 7,Centre 7,R2,8,9,4,7,3,4,1,9,0,8,4,0
Centre 7,Centre 7,R3,8,9,5,7,7,4,1,9,1,7,4,3
Centre 8,Centre 8,R1,8,8,7,7,9,6,9,9,4,9,7,3
Centre 8,Centre 8,R2,7,9,8,7,9,4,6,8,3,8,5,4
Centre 9,Centre 9,R1,9,8,6,7,9,5,6,8,1,9,6,0
Centre 9,Centre 9,R2,8,9,6,7,9,1,1,9,2,9,2,2
Centre 10,Centre 10,R1,9,9,4,6,10,0,0,9,3,9,5,1
Centre 10,Centre 10,R2,10,9,4,6,8,2,2,9,0,9,3,5
Centre 11,Centre 11,R1,7,9,4,6,9,2,3,8,0,7,0,2
Centre 12,Centre 12,R1,8,8,5,8,9,5,6,9,4,9,8,1
Centre 13,Centre 13,R1,7,9,4,8,9,3,6,9,3,9,6,1
Centre 14,Centre 14,R1,8,8,5,6,9,0,2,9,5,9,7,0
Centre 14,Centre 14,R2,8,9,5,8,9,7,5,9,2,9,6,2
Centre 14,Centre 14,R3,8,9,3,5,10,0,6,9,0,9,6,0
Centre 14,Centre 14,R4,8,8,5,4,7,1,0,9,0,8,1,0
Centre 14,Centre 14,R5,8,9,8,3,8,3,0,10,2,8,1,5
Centre 14,Centre 14,R6,8,9,4,6,8,3,4,9,2,8,7,1
Centre 14,Centre 14,R7,8,9,7,9,7,5,0,9,3,7,3,0
Centre 15,Centre 15,R1,8,8,6,8,9,2,2,9,2,9,2,0
Centre 15,Centre 15,R2,8,8,6,8,8,6,4,9,5,10,0,0
Centre 15,Centre 15,R3,8,8,6,8,9,3,4,9,3,8,3,0
Centre 15,Centre 15,R4,8,9,6,8,10,4,0,9,5,8,3,0
Centre 15,Centre 15,R5,8,8,6,8,9,5,4,9,5,9,7,1
Centre 15,Centre 15,R6,8,8,6,8,9,5,4,9,5,9,7,1
Centre 16,Centre 16,R1,9,9,5,6,8,2,6,9,7,9,0,2
Centre 16,Centre 16,R2,7,8,6,6,9,3,1,9,4,8,6,0
Centre 16,Centre 16,R3,8,8,5,7,9,1,5,9,2,7,8,0
Centre 17,Centre 17,R1,7,9,4,7,6,2,6,9,2,10,3,1
Centre 17,Centre 17,R2,8,9,6,7,6,2,3,7,4,9,0,3
Centre 17,Centre 17,R3,7,9,6,6,4,3,6,6,6,9,2,2
Centre 17,Centre 17,R4,8,9,6,6,4,3,1,7,7,7,0,2
Centre 18,Centre 18,R1,7,9,7,4,9,4,5,8,1,9,3,0
Centre 18,Centre 18,R2,8,9,7,6,10,7,8,9,1,9,7,0
Centre 18,Centre 18,R3,8,8,6,6,10,4,5,9,2,9,1,1